name,smiles
Oxazepam acetate,CC(=O)OC1N=C(C2=CC=CC=C2)C2=CC(Cl)=CC=C2NC1=O
Penbutolol,CC(C)(C)NC[C@H](O)COC1=CC=CC=C1C1CCCC1
Cloranolol,CC(C)(C)NCC(O)COC1=CC(Cl)=CC=C1Cl
Talinolol,CC(C)(C)NCC(O)COC1=CC=C(NC(=O)NC2CCCCC2)C=C1
Nadolol,CC(C)(C)NCC(O)COC1=CC=CC2=C1C[C@H](O)[C@H](O)C2
Tertatolol,CC(C)(C)NCC(O)COC1=CC=CC2=C1SCCC2
Arotinolol,CC(C)(C)NCC(O)CSC1=NC(=CS1)C1=CC=C(S1)C(N)=O
Bucindolol,CC(C)(CC1=CNC2=CC=CC=C12)NCC(O)COC1=CC=CC=C1C#N
Bioallethrin,CC(C)=CC1C(C(=O)OC2CC(=O)C(CC=C)=C2C)C1(C)C
Ibudilast,CC(C)C(=O)C1=C2C=CC=CN2N=C1C(C)C
Emopamil,CC(C)C(CCCN(C)CCC1=CC=CC=C1)(C#N)C1=CC=CC=C1
Atorvastatin,CC(C)C1=C(C(=O)NC2=CC=CC=C2)C(=C(N1CC[C@@H](O)C[C@@H](O)CC(O)=O)C1=CC=C(F)C=C1)C1=CC=CC=C1
Rosuvastatin,CC(C)C1=NC(=NC(C2=CC=C(F)C=C2)=C1\C=C\[C@@H](O)C[C@@H](O)CC(=O)O)N(C)S(C)(=O)=O
Bepridil,CC(C)COCC(CN(CC1=CC=CC=C1)C1=CC=CC=C1)N1CCCC1
Dexpropranolol,CC(C)NC[C@@H](O)COC1=CC=CC2=C1C=CC=C2
Esatenolol,CC(C)NC[C@H](O)COC1=CC=C(CC(N)=O)C=C1
Levobetaxolol,CC(C)NC[C@H](O)COC1=CC=C(CCOCC2CC2)C=C1
Sotalol,CC(C)NCC(O)C1=CC=C(NS(C)(=O)=O)C=C1
Atenolol,CC(C)NCC(O)COC1=CC=C(CC(N)=O)C=C1
Betaxolol,CC(C)NCC(O)COC1=CC=C(CCOCC2CC2)C=C1
Bisoprolol,CC(C)NCC(O)COC1=CC=C(COCCOC(C)C)C=C1
Practolol,CC(C)NCC(O)COC1=CC=C(NC(C)=O)C=C1
Alprenolol,CC(C)NCC(O)COC1=CC=CC=C1CC=C
Oxprenolol,CC(C)NCC(O)COC1=CC=CC=C1OCC=C
Mepindolol,CC(C)NCC(O)COC1=CC=CC2=C1C=C(C)N2
Propranolol,CC(C)NCC(O)COC1=CC=CC2=C1C=CC=C2
Indenolol,CC(C)NCC(O)COC1=CC=CC2=C1C=CC2
Pindolol,CC(C)NCC(O)COC1=CC=CC2=C1C=CN2
Azelnidipine,CC(C)OC(=O)C1=C(C)NC(N)=C(C1C1=CC=CC(=C1)[N+]([O-])=O)C(=O)OC1CN(C1)C(C1=CC=CC=C1)C1=CC=CC=C1
Terodiline,CC(CC(C1=CC=CC=C1)C1=CC=CC=C1)NC(C)(C)C
Prenylamine,CC(CC1=CC=CC=C1)NCCC(C1=CC=CC=C1)C1=CC=CC=C1
Pheniprazine,CC(CC1=CC=CC=C1)NN
Nylidrin,CC(CCC1=CC=CC=C1)NC(C)C(O)C1=CC=C(O)C=C1
Labetalol,CC(CCC1=CC=CC=C1)NCC(O)C1=CC(C(N)=O)=C(O)C=C1
Safrazine,CC(CCC1=CC2=C(OCO2)C=C1)NN
Fendiline,CC(NCCC(C1=CC=CC=C1)C1=CC=CC=C1)C1=CC=CC=C1
Mebanazine,CC(NN)C1=CC=CC=C1
Benmoxin,CC(NNC(=O)C1=CC=CC=C1)C1=CC=CC=C1
Seletracetam,CC[C@H](N1C[C@@H](CC1=O)C=C(F)F)C(N)=O
Landiolol,CC1(C)OC[C@@H](COC(=O)CCC2=CC=C(OC[C@@H](O)CNCCNC(=O)N3CCOCC3)C=C2)O1
WIN 55212-2,CC1=C(C(=O)C2=CC=CC3=CC=CC=C23)C2=C3N1[C@H](CN1CCOCC1)COC3=CC=C2
Efonidipine,CC1=C(C(C2=CC=CC(=C2)[N+]([O-])=O)C(=C(C)N1)P1(=O)OCC(C)(C)CO1)C(=O)OCCN(CC1=CC=CC=C1)C1=CC=CC=C1
Xylometazoline,CC1=CC(=CC(C)=C1CC1=NCCN1)C(C)(C)C
Bupranolol,CC1=CC(OCC(O)CNC(C)(C)C)=C(Cl)C=C1
Pirlindole,CC1=CC=C2N3CCNC4CCCC(=C34)C2=C1
Lidoflazine,CC1=CC=CC(C)=C1NC(=O)CN1CCN(CCCC(C2=CC=C(F)C=C2)C2=CC=C(F)C=C2)CC1
Bopindolol,CC1=CC2=C(N1)C=CC=C2OCC(CNC(C)(C)C)OC(=O)C1=CC=CC=C1
Midazolam,CC1=NC=C2CN=C(C3=CC=CC=C3F)C3=C(C=CC(Cl)=C3)N12
Brotizolam,CC1=NN=C2CN=C(C3=C(SC(Br)=C3)N12)C1=CC=CC=C1Cl
Alprazolam,CC1=NN=C2CN=C(C3=CC=CC=C3)C3=C(C=CC(Cl)=C3)N12
