,cas_number,moldb_smiles,klass
Ellagic acid acetyl-xyloside,476-66-4,[H][C@]1(CO[C@@]([H])(OC2=CC3=C4C(OC(=O)C5=CC(O)=C(O)C(OC3=O)=C45)=C2O)[C@]([H])(O)[C@@]1([H])O)OC(C)=O,
Ellagic acid acetyl-arabinoside,476-66-4,CC(=O)O[C@H]1CO[C@@H](OC2=CC3=C4C(OC(=O)C5=CC(O)=C(O)C(OC3=O)=C45)=C2O)[C@H](O)[C@H]1O,
Gallic acid 3-O-gallate,536-08-3,OC(=O)C1=CC(O)=C(O)C(OC(=O)C2=CC(O)=C(O)C(O)=C2)=C1,
4-p-Coumaroylquinic acid,93451-44-6,O[C@@H]1CC(O)(C(=O)O)C[C@@H](O)C1OC(=O)\C=C\C1=CC=C(O)C=C1,
Caffeic acid ethyl ester,102-37-4,CCOC(=O)\C=C\C1=CC(O)=C(O)C=C1,
Ferulic acid 4-glucoside,537-98-4,COC1=CC(\C=C\C(O)=O)=CC=C1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,
Cis-5-Caffeoylquinic acid,327-97-9,O[C@@H]1C[C@](O)(C[C@@H](OC(=O)\C=C/C2=CC=C(O)C(O)=C2)[C@@H]1O)C(O)=O,Alcohols and polyols
Avenanthramide 2p,7664-41-7,OC(=O)C1=CC(O)=CC=C1NC(=O)\C=C\C1=CC=C(O)C=C1,
Avenanthramide 2c,7664-41-7,OC(=O)C1=CC(O)=CC=C1NC(=O)\C=C\C1=CC(O)=C(O)C=C1,
Avenanthramide 2f,7664-41-7,COC1=C(O)C=CC(\C=C\C(=O)NC2=CC=C(O)C=C2C(O)=O)=C1,
Caffeoyl aspartic acid,860295-20-1,OC(=O)CC(NC(=O)\C=C\C1=CC(O)=C(O)C=C1)C(O)=O,Carboxylic acids and derivatives
p-Coumaroyl aspartic acid,151435-24-4,OC(=O)CC(NC(=O)\C=C\C1=CC=C(O)C=C1)C(O)=O,Carboxylic acids and derivatives
Avenanthramide K,7664-41-7,OC(=O)C1=CC=C(O)C=C1NC(=O)\C=C\C1=CC(O)=C(O)C=C1,
Schottenol 3-ferulate,521-03-9,CC[C@H](CC[C@@H](C)[C@H]1CCC2C3=CC[C@@]4([H])C[C@H](CC[C@]4(C)C3CC[C@]12C)OC(=O)\C=C\C1=CC(OC)=C(O)C=C1)C(C)C,
"3,4-Dihydroxyphenylacetic acid",102-32-9,OC(=O)CC1=CC(O)=C(O)C=C1,Benzene and substituted derivatives
Homoveratric acid,93-40-3,COC1=CC=C(CC(O)=O)C=C1OC,Benzene and substituted derivatives
Methoxyphenylacetic acid,104-01-8,COC(C(O)=O)C1=CC=CC=C1,
delta-Viniferin,62218-13-7,[H][C@@]1(OC2=C(C=C(\C=C\C3=CC(O)=CC(O)=C3)C=C2)[C@]1([H])C1=CC(O)=CC(O)=C1)C1=CC=C(O)C=C1,
Conidendrin,518-55-8,COC1=CC2=C(C=C1O)[C@H]([C@@H]1COC(=O)[C@@H]1C2)C1=CC=C(O)C(OC)=C1,
Mellein,480-33-1,C[C@@H]1CC2=CC=CC(O)=C2C(=O)O1,
2-Methoxy-5-prop-1-enylphenol,104-46-1,COC1=C(O)C=C(C=CC)C=C1,
"1,4-Naphtoquinone",130-15-4,O=C1C=CC(=O)C2=CC=CC=C12,
Hydroxytyrosol acetate,7440-34-8,CC(=O)OCCC1=CC(O)=C(O)C=C1,
p-HPEA-EDA,501-94-0,[H]\C(C)=C(/C=O)C(CC=O)CC(=O)OCCC1=CC=C(O)C=C1,Benzene and substituted derivatives
p-HPEA-EA,501-94-0,[H]\C(C)=C(/C=O)C(CC=O)CC(=O)OCCC1=CC=C(O)C=C1,
3-Methylcatechol,488-17-5,CC1=CC=CC(O)=C1O,
4-Ethylphenol,123-07-9,CCC1=CC=C(O)C=C1,Benzene and substituted derivatives
3'-Methoxyacetophenone,586-37-8,COC1=CC(=CC=C1)C(C)=O,
Nuatigenin,6811-35-4,CC1C2C(CC3C4CC=C5CC(O)CCC5(C)C4CCC23C)OC11CCC(C)(CO)O1,
Estradiol,50-28-2,[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C=C3,Steroids and steroid derivatives
Dioscin,19057-60-4,CC1C2C(CC3C4CC=C5CC(CCC5(C)C4CCC23C)OC2OC(CO)C(OC3OC(C)C(O)C(O)C3OC3OC(C)C(O)C(O)C3O)C(O)C2O)OC11CCC(C)CO1,
Collettiside I,14144-06-0,CC1C2C(CC3C4CC=C5CC(CCC5(C)C4CCC23C)OC2OC(CO)C(O)C(O)C2O)OC11CCC(C)CO1,
Yamogenin,512-06-1,CC1C2C(CC3C4CC=C5CC(O)CCC5(C)C4CCC23C)OC11CCC(C)CO1,
Ophiopogonin C',19057-67-1,CC1C2C(CC3C4CC=C5CC(CCC5(C)C4CCC23C)OC2OC(CO)C(O)C(O)C2OC2OC(C)C(O)C(O)C2O)OC11CCC(C)CO1,Steroids and steroid derivatives
Erythritol,149-32-6,OCC(O)C(O)CO,Carbohydrates and carbohydrate conjugates
Canescein,22333-73-9,CC1OC(OC2CCC3(C=O)C4C(O)CC5(C)C(CCC5(O)C4CCC3(O)C2)C2=CC(=O)OC2)C(O)C(O)C1O,Steroids and steroid derivatives
