,cas_number,moldb_smiles,klass
Ganodermatriol,105300-28-5,CC(CCC=C(CO)CO)C1CCC2(C)C3=CCC4C(C)(C)C(O)CCC4(C)C3=CCC12C,
cis-Bixin,6983-79-5,COC(=O)\C=C\C(\C)=C/C=C/C(/C)=C/C=C/C=C(\C)/C=C/C=C(\C)/C=C/C(O)=O,
Apiosylglucosyl 4-hydroxybenzoate,223261-31-2,OCC1(O)COC(OCC2OC(OC(=O)C3=CC=C(O)C=C3)C(O)C(O)C2O)C1O,
Cucurbitaxanthin A,103955-77-7,C\C(\C=C\C=C(/C)\C=C\C1=C(C)CC(O)CC1(C)C)=C/C=C\C=C(\C)/C=C/C=C(/C)\C=C\C12OC(CC1(C)C)CC2(C)O,
Cucurbitaxanthin B,107390-61-4,C\C(\C=C\C=C(/C)\C=C\C12OC1(C)CC(O)CC2(C)C)=C/C=C\C=C(\C)/C=C/C=C(/C)\C=C\C12OC(CC1(C)C)CC2(C)O,
Galactopinitol B,88199-72-8,CO[C@@H]1[C@@H](O)[C@@H](O)[C@H](O)[C@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)[C@H]1O,
Fagopyritol B2,116261-02-0,OC[C@H]1O[C@H](OC[C@H]2O[C@H](O[C@H]3[C@@H](O)[C@H](O)[C@H](O)[C@@H](O)[C@@H]3O)[C@H](O)[C@@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@H]1O,
Fagopyritol B3,208708-11-6,OC[C@H]1O[C@H](OC[C@H]2O[C@H](OC[C@H]3O[C@H](O[C@H]4[C@@H](O)[C@H](O)[C@H](O)[C@@H](O)[C@@H]4O)[C@H](O)[C@@H](O)[C@H]3O)[C@H](O)[C@@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@H]1O,
Lucidumol B,107900-79-8,CC(CCC(O)C(C)(C)O)C1CCC2(C)C3=CCC4C(C)(C)C(O)CCC4(C)C3=CCC12C,
Ganoderic acid N,110241-19-5,CC(CC(=O)CC(C)(O)C1CC(=O)C2(C)C3=C(C(=O)CC12C)C1(C)CCC(=O)C(C)(C)C1CC3O)C(O)=O,
Ganoderiol B,106518-62-1,CC(CCC=C(CO)CO)C1CC(O)C2(C)C3=CCC4C(C)(C)C(=O)CCC4(C)C3=CCC12C,
Perilla ketone,553-84-4,CC(C)CCC(=O)C1=COC=C1,
Ganoderic acid Mf,108026-94-4,CC(CC\C=C(/C)C(O)=O)C1CC(O)C2(C)C3=CCC4C(C)(C)C(CCC4(C)C3=CCC12C)OC(C)=O,
Ganoderic acid X,86377-53-9,CC(CC\C=C(/C)C(O)=O)C1CC(OC(C)=O)C2(C)C3=CCC4C(C)(C)C(O)CCC4(C)C3=CCC12C,
Ganoderic acid Me,108026-93-3,CC(CC\C=C(/C)C(O)=O)C1CC(OC(C)=O)C2(C)C3=CCC4C(C)(C)C(CCC4(C)C3=CCC12C)OC(C)=O,
Ganodermic acid Jb,112430-68-9,CC(CC\C=C(/C)C(O)=O)C1CC(O)C2(C)C3=CCC4C(C)(C)C(O)CCC4(C)C3=CCC12C,
"3a,15a,22S-Triacetoxy-7a-hydroxylanosta-8,24E-dien-26-oic acid",111-40-0,CC(C(C\C=C(/C)C(O)=O)OC(C)=O)C1CC(OC(C)=O)C2(C)C3=C(CCC12C)C1(C)CCC(OC(C)=O)C(C)(C)C1CC3O,
Sterebin A,107647-14-3,CC(=O)\C=C\C1C(C)(O)C(O)C(O)C2C(C)(C)CCCC12C,
Ganoderic acid Mi,110024-16-3,COC1CC2C(C)(C)C(CCC2(C)C2=C1C1(C)C(O)CC(C(C)CC\C=C(\C)C(O)=O)C1(C)CC2)OC(C)=O,
TR-Saponin A,288153-01-5,COC(=O)C1(C)C(CCC2(C)C1CCC1(C)C2CC=C2C3CC(C)(C)C(OC(=O)C(\C)=C/C)C(OC(=O)C(\C)=C/C)C3(CO)C(O)C(O)C12C)OC1OC(C(O)C(OC2OCC(O)C(O)C2O)C1O)C(O)=O,
TR-Saponin B,288153-02-6,CCC(C)C(=O)OC1C(OC(=O)C(\C)=C/C)C(C)(C)CC2C3=CCC4C5(C)CCC(OC6OC(C(O)C(OC7OCC(O)C(O)C7O)C6O)C(O)=O)C(C)(C5CCC4(C)C3(C)C(O)C(O)C12CO)C(=O)OC,
TR-Saponin C,288153-03-7,CCC(C)C(=O)OC1C(OC(=O)C(\C)=C/C)C(C)(C)CC2C3=CCC4C5(C)CCC(OC6OC(C(O)C(OC7OCC(O)C(O)C7O)C6O)C(O)=O)C(C)(C5CCC4(C)C3(C)C(O)C(OC(C)=O)C12CO)C(=O)OC,
"(3b,16a,20R)-3,16,20,22,25-Pentahydroxy-5-cucurbiten-11-one 3-[rhamnosyl-(1->4)-[glucosyl-(1->6)]-glucoside]",251102-63-3,CC1OC(OC2C(COC3OC(CO)C(O)C(O)C3O)OC(OC3CCC4C(=CCC5C6(C)CC(O)C(C(C)(O)C(O)CCC(C)(C)O)C6(C)CC(=O)C45C)C3(C)C)C(O)C2O)C(O)C(O)C1O,
"(3b,16a,20R)-3,16,20,22,25-Pentahydroxy-5-cucurbiten-11-one 3-[glucosyl-(1->6)-glucoside]",178062-94-7,CC(C)(O)CCC(O)C(C)(O)C1C(O)CC2(C)C3CC=C4C(CCC(OC5OC(COC6OC(CO)C(O)C(O)C6O)C(O)C(O)C5O)C4(C)C)C3(C)C(=O)CC12C,
"(3b,16a,20R)-25-Acetoxy-3,16,20,22-tetrahydroxy-5-cucurbiten-11-one 3-glucoside",178062-95-8,CC(=O)OC(C)(C)CCC(O)C(C)(O)C1C(O)CC2(C)C3CC=C4C(CCC(OC5OC(CO)C(O)C(O)C5O)C4(C)C)C3(C)C(=O)CC12C,
"(3b,6a,12b,17a,20S)-Dammar-24-ene-3,6,12,17,20-pentol 20-[glucosyl-(1->2)-[rhamnosyl-(1->6)]-glucoside] 6-xyloside",251101-56-1,CC1OC(OCC2OC(OC(C)(CCC=C(C)C)C3(O)CCC4(C)C3C(O)CC3C5(C)CCC(O)C(C)(C)C5C(CC43C)OC3OCC(O)C(O)C3O)C(OC3OC(CO)C(O)C(O)C3O)C(O)C2O)C(O)C(O)C1O,
"(3b,6a,12b,17a,20S)-Dammar-24-ene-3,6,12,17,20-pentol 20-[glucosyl-(1->2)-glucoside] 6-xyloside",251101-57-2,CC(C)=CCCC(C)(OC1OC(CO)C(O)C(O)C1OC1OC(CO)C(O)C(O)C1O)C1(O)CCC2(C)C1C(O)CC1C3(C)CCC(O)C(C)(C)C3C(CC21C)OC1OCC(O)C(O)C1O,
"(3b,6a,12b,17a,20S)-Dammar-24-ene-3,6,12,17,20-pentol 20-[glucosyl-(1->2)-[rhamnosyl-(1->6)]-glucoside] 6-glucoside",251101-58-3,CC1OC(OCC2OC(OC(C)(CCC=C(C)C)C3(O)CCC4(C)C3C(O)CC3C5(C)CCC(O)C(C)(C)C5C(CC43C)OC3OC(CO)C(O)C(O)C3O)C(OC3OC(CO)C(O)C(O)C3O)C(O)C2O)C(O)C(O)C1O,
"(3b,6a,12b,17a,20S)-Dammar-24-ene-3,6,12,17,20-pentol 20-[glucosyl-(1->2)-[rhamnosyl-(1->6)]-glucoside] 3-[glucosyl-(1->6)-glucoside] 6-xyloside",251101-59-4,CC1OC(OCC2OC(OC(C)(CCC=C(C)C)C3(O)CCC4(C)C3C(O)CC3C5(C)CCC(OC6OC(COC7OC(CO)C(O)C(O)C7O)C(O)C(O)C6O)C(C)(C)C5C(CC43C)OC3OCC(O)C(O)C3O)C(OC3OC(CO)C(O)C(O)C3O)C(O)C2O)C(O)C(O)C1O,
4beta-8-Daucen-4-ol,255062-40-9,CC(C)C1(O)CCC2(C)CC=C(C)CCC12,
Oleuroside,116383-31-4,COC(=O)C1=COC(OC2OC(CO)C(O)C(O)C2O)C(C=C)C1CC(=O)OCCC1=CC(O)=C(O)C=C1,
Epoxyganoderiol C,114020-58-5,CC(CCC1OC1(C)CO)C1CCC2(C)C3=CCC4C(C)(C)C(O)CCC4(C)C3=CCC12C,
Ganoderic acid Mj,110024-15-2,COC1CC2C(C)(C)C(O)CCC2(C)C2=C1C1(C)CCC(C(C)C(C\C=C(\C)C(O)=O)OC(C)=O)C1(C)CC2,
3beta-3-Hydroxy-18-lupen-21-one,29367-66-6,CC(C)C1=C2C3CCC4C5(C)CCC(O)C(C)(C)C5CCC4(C)C3(C)CCC2(C)CC1=O,
Pithecelloside,248259-55-4,C\C(=C/CCC(C)(O)C=C)C(=O)OC1CC2(C(O)CC3(C)C(=CCC4C5(C)CCC(OC6OC(COC7OCC(O)C(O)C7OC7OCC(O)C(O)C7O)C(O)C(O)C6O)C(C)(C)C5CCC34C)C2CC1(C)C)C(O)=O,
Blumealactone C,111545-48-3,CC1CCCC2(C)OC2C(O)C2C(OC(=O)C2=C)C1OC(C)=O,
1-Deoxynojirimycin,19130-96-2,OCC1NCC(O)C(O)C1O,
N-Methyl-1-deoxynojirimycin,69567-10-8,CN1CC(O)C(O)C(O)C1CO,
Daucene,16661-00-0,CC(C)C1=C2CCC(C)=CCC2(C)CC1,
Ginsenoside Rb3,11021-13-9,CC(C)=CCCC(C)(OC1OC(COC2OCC(O)C(O)C2O)C(O)C(O)C1O)C1CCC2(C)C1C(O)CC1C3(C)CCC(OC4OC(CO)C(O)C(O)C4OC4OC(CO)C(O)C(O)C4O)C(C)(C)C3CCC21C,
Notoginsenoside R2,80418-25-3,CC(C)=CCCC(C)(O)C1CCC2(C)C1C(O)CC1C3(C)CCC(O)C(C)(C)C3C(CC21C)OC1OC(CO)C(O)C(O)C1OC1OCC(O)C(O)C1O,
Notoginsenoside R1,80418-24-2,CC(C)=CCCC(C)(OC1OC(CO)C(O)C(O)C1O)C1CCC2(C)C1C(O)CC1C3(C)CCC(O)C(C)(C)C3C(CC21C)OC1OC(CO)C(O)C(O)C1OC1OCC(O)C(O)C1O,
6-Epi-beta-bisabolol,235421-59-7,C[C@@H](CCC=C(C)C)[C@@]1(O)CCC(C)=CC1,
"Linalool 3,7-oxide",14049-11-7,CC1(C)OC(C)(CCC1O)C=C,
Cytochalasin Opho,108050-26-6,CC1C\C=C\C2C(O)C(C)=C(C)C3C(CC4=CC=CC=C4)NC(=O)C23C(O)\C=C/C(C)(O)C1,
Cytochalasin Npho,108050-28-8,CC1C\C=C\C2C(O)C(C)=C(C)C3C(CC4=CC=CC=C4)NC(=O)C23C(OC(C)=O)\C=C/C(C)(O)C1,
Cytochalasin Ppho,108050-27-7,CC1C2C(CC3=CC=CC=C3)NC(=O)C22C(\C=C\CC(C)CC(C)(O)\C=C/C2OC(C)=O)C(O)C1(C)O,
Citreoviridinol A1,94161-12-3,COC1=CC(=O)OC(\C=C/C=C/C=C\C2(C)OC3(C)C(O)OC(C)(C3O)C2O)=C1C,
Pyranocyanin B,95-01-2,CC1=CC2=C3C(OC(C4=CC(O)=C(O)C=C4)=C2OC2OC(CO)C(O)C(O)C2O)=CC(O)=CC3=[O+]1,
Oxepahyperforin,59014-02-7,CC(C)C(=O)C12C(=O)C3(CC=C(C)C)OC1(O)C(CC=C(C)C)(CC(CC=C(C)C)C2(C)CCC=C(C)C)C3=O,
"Ethyl (2E,4E,7Z)-Decatrienoate",28290-88-2,CCOC(=O)\C=C\C=C\C\C=C/CC,
"Ethyl (2E,4Z,7Z)-Decatrienoate",142676-19-5,CCOC(=O)\C=C\C=C/C\C=C/CC,
Copper sulfate,7758-98-7,[Cu++].[O-]S([O-])(=O)=O,
Hydrocyanite,7758-99-8,O.O.O.O.O.[Cu++].[O-]S([O-])(=O)=O,
Sterebin E,114343-74-7,C\C(=C\CO)\C=C\C1C(C)(O)C(O)C(O)C2C(C)(C)CCCC12C,
Sterebin G,114437-32-0,CC1(C)CCCC2(C)C(\C=C\C(=C)C(O)CO)C(C)(O)C(O)C(O)C12,
Ganoderenic acid A,100665-40-5,CC(CC(=O)\C=C(\C)C1CC(O)C2(C)C3=C(C(=O)CC12C)C1(C)CCC(=O)C(C)(C)C1CC3O)C(O)=O,
Ganoderenic acid C,100665-42-7,CC(CC(=O)\C=C(\C)C1CC(O)C2(C)C3=C(C(=O)CC12C)C1(C)CCC(O)C(C)(C)C1CC3O)C(O)=O,
Panasinsanol B,109785-99-1,CC1(C)CC23[C@H]1CC[C@@]2(C)CCC[C@]3(C)O,
2-Ethylthiophene,872-55-9,CCC1=CC=CS1,
3-Ethylthiophene,1795-01-3,CCC1=CSC=C1,
"(24E)-3alpha-Acetoxy-15alpha-hydroxy-23-oxo-7,9(11),24-lanostatrien-26-oic acid",117383-37-6,CC(CC(=O)\C=C(\C)C(O)=O)C1CC(O)C2(C)C3=CCC4C(C)(C)C(CCC4(C)C3=CCC12C)OC(C)=O,
"(24E)-15alpha-Acetoxy-3alpha-hydroxy-23-oxo-7,9(11),24-lanostatrien-26-oic acid",117383-35-4,CC(CC(=O)\C=C(\C)C(O)=O)C1CC(OC(C)=O)C2(C)C3=CCC4C(C)(C)C(O)CCC4(C)C3=CCC12C,
"(24E)-3alpha,15alpha-Diacetoxy-23-oxo-7,9(11),24-lanostatrien-26-oic acid",117383-36-5,CC(CC(=O)\C=C(\C)C(O)=O)C1CC(OC(C)=O)C2(C)C3=CCC4C(C)(C)C(CCC4(C)C3=CCC12C)OC(C)=O,
5-Octen-2-one,36359-70-3,CC\C=C/CCC(C)=O,
Preisocalamendiol,25645-19-6,CC(C)C1CC\C(C)=C/CCC(=C)CC1=O,
Iron(III) diphosphate (Fe4(P2O7)3),10058-44-3,[Fe+3].[Fe+3].[Fe+3].[Fe+3].[O-]P([O-])(=O)OP([O-])([O-])=O.[O-]P([O-])(=O)OP([O-])([O-])=O.[O-]P([O-])(=O)OP([O-])([O-])=O,
Ferric pyrophosphate - sodium citrate,61618-27-7,[Na+].[Na+].[Na+].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[O-]P([O-])(=O)OP([O-])([O-])=O.[O-]P([O-])(=O)OP([O-])([O-])=O.[O-]P([O-])(=O)OP([O-])([O-])=O.OC(CC([O-])=O)(CC([O-])=O)C([O-])=O,
Ginsenoside C,52286-74-5,CC1OC(OC2C(O)C(O)C(CO)OC2OC2CC3(C)C(CC(O)C4C(CCC34C)C(C)(O)CCC=C(C)C)C3(C)CCC(O)C(C)(C)C23)C(O)C(O)C1O,
T2 Triol,34114-98-2,CC(C)CC(=O)OC1CC2(CO)C(OC3C(O)C(O)C2(C)C32CO2)C=C1C,
"1-Tridecene-3,5,7,9,11-pentayne",81900-91-6,CC#CC#CC#CC#CC#CC=C,
Arnidenediol,6750-30-7,CC1C2C3CCC4C5(C)CCC(O)C(C)(C)C5CCC4(C)C3(C)CC(O)C2(C)CCC1=C,
Culinariside,230295-19-9,CCCCCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)C(O)CCCCCC\C=C\CCCCCCC,
Gingerenone A,128700-97-0,COC1=CC(CCC(=O)\C=C\CCC2=CC(OC)=C(O)C=C2)=CC=C1O,
Isogingerenone B,128700-99-2,COC1=CC(CCC(=O)\C=C\CCC2=CC(OC)=C(O)C=C2)=CC(OC)=C1O,
Gingerenone B,128700-98-1,COC1=CC(CCC(=O)\C=C\CCC2=CC(OC)=C(O)C(OC)=C2)=CC=C1O,
"3beta-3-Hydroxy-11-oxolanosta-8,24-dien-26-al",126313-85-7,CC(CC\C=C(\C)C=O)C1CCC2(C)C3=C(C(=O)CC12C)C1(C)CCC(O)C(C)(C)C1CC3,
Dehydrocurdione,38230-32-9,CC1CC\C=C(C)/CC(=O)C(CC1=O)=C(C)C,
"1,10-Epoxygermacrone",52061-45-7,CC(C)=C1C\C=C(C)/CCC2OC2(C)CC1=O,
Carbon dioxide,124-38-9,O=C=O,
Ozone,10028-15-6,O1OO1,Other non-metal organides
Lepalone,80445-58-5,CC(=C)C(=O)CCC1=COC=C1,
"3,3',4',5,6,8-Hexamethoxyflavone",218945-14-3,COC1=CC(OC)=C2OC(=C(OC)C(=O)C2=C1OC)C1=CC(OC)=C(OC)C=C1,
Dihydrocitronellol,106-21-8,CC(C)CCCC(C)CCO,
Iron(II) fumarate,141-01-5,[Fe++].[O-]C(=O)\C=C\C([O-])=O,
4-Butyl-gamma-butyrolactone,104-50-7,CCCCC1CCC(=O)O1,
Polymeric potassium metaphosphate,29057-10-1,[K+].[K+].[K+].[O-]P1(=O)OP([O-])(=O)OP([O-])(=O)O1,
Momordicoside I,81371-55-3,CC(C\C=C\C(C)(C)O)C1CCC2(C)C3C=CC45OCC3(CCC12C)C4CCC(OC1OC(CO)C(O)C(O)C1O)C5(C)C,
"(2E,8Z)-Decadiene-4,6-diyn-1-yl 3-methylbutanoate",29444-87-9,C\C=C/C#CC#C\C=C\COC(=O)CC(C)C,
Lupeyl acetate,1617-68-1,CC(=O)OC1CCC2(C)C(CCC3(C)C2CCC2C4C(CCC4(C)CCC32C)C(C)=C)C1(C)C,
(R)-Naringenin 8-C-(2''-rhamnosylglucoside),302-72-7,CC1OC(OC2C(O)C(O)C(CO)OC2C2=C(O)C=C(O)C3=C2OC(CC3=O)C2=CC=C(O)C=C2)C(O)C(O)C1O,
(S)-Naringenin 8-C-(2''-rhamnosylglucoside),7783-06-4,CC1OC(OC2C(O)C(O)C(CO)OC2C2=C(O)C=C(O)C3=C2OC(CC3=O)C2=CC=C(O)C=C2)C(O)C(O)C1O,
Licoagrochalcone C,6754-58-1,COC1=C(\C=C\C(=O)C2=CC(O)=C(O)C=C2)C=CC(O)=C1CC=C(C)C,
Assamsaponin B,259748-07-7,C\C=C(\C)C(=O)OC1C(OC(C)=O)C2(CO)C(CC3(C)C(=CCC4C5(C)CCC(OC6OC(C(O)C(OC7OCC(O)C(O)C7OC7OCC(O)C(O)C7O)C6OC6OC(CO)C(O)C(O)C6O)C(O)=O)C(C)(C=O)C5CCC34C)C2CC1(C)C)OC(C)=O,
Assamsaponin C,259748-14-6,C\C=C(/C)C(=O)OC1C(O)C2(COC(C)=O)C(O)CC3(C)C(=CCC4C5(C)CCC(OC6OC(C(O)C(OC7OCC(O)C(O)C7OC7OCC(O)C(O)C7O)C6OC6OC(CO)C(O)C(O)C6O)C(O)=O)C(C)(C=O)C5CCC34C)C2CC1(C)C,
Assamsaponin D,259748-69-1,C\C=C(\C)C(=O)OC1C(OC(C)=O)C2(CO)C(O)CC3(C)C(=CCC4C5(C)CCC(OC6OC(C(O)C(OC7OCC(O)C(O)C7OC7OCC(O)C(O)C7O)C6OC6OC(CO)C(O)C(O)C6O)C(O)=O)C(C)(CO)C5CCC34C)C2CC1(C)C,
Assamsaponin A,259747-95-0,C\C=C(\C)C(=O)OC1CC(C)(C)CC2C3=CCC4C5(C)CCC(OC6OC(C(O)C(OC7OCC(O)C(O)C7OC7OCC(O)C(O)C7O)C6OC6OC(CO)C(O)C(O)C6O)C(O)=O)C(C)(C=O)C5CCC4(C)C3(C)CC(O)C12CO,
Canarigenin 3-[glucosyl-(1->4)-6-deoxy-alloside],229319-08-8,CC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5(O)C4CCC3=C2)C2=CC(=O)OC2)C(O)C(O)C1OC1OC(CO)C(O)C(O)C1O,
Isomasticadienonalic acid,62499-11-0,C\C(=C/CCC(C=O)C1CCC2(C)C3=C(CCC12C)C1(C)CCC(=O)C(C)(C)C1CC3)C(O)=O,
(±)-Limonene,9003-73-0,CC(=C)C1CCC(C)=CC1,Prenol lipids
"(2a,3b,5a,6a,22R,25R)-Furostane-22-methoxy-2,3,6,26-tetrol 3-[glucosyl-(1->2)-[xylosyl-(1->3)]-glucosyl-(1->4)-galactoside] 26-glucoside",256650-98-3,COC1(CCC(C)COC2OC(CO)C(O)C(O)C2O)OC2CC3C4CC(O)C5CC(OC6OC(CO)C(OC7OC(CO)C(O)C(OC8OCC(O)C(O)C8O)C7OC7OC(CO)C(O)C(O)C7O)C(O)C6O)C(O)CC5(C)C4CCC3(C)C2C1C,
Promucosine,275355-87-8,COC(=O)N1CCC2=CC(OC)=C(OC)C3=C2C1CC31C=CC(=O)C=C1,
"3',4',5'-Trimethoxytricetin 7-[rhamnosyl-(1->6)-glucoside]",289915-88-4,COC1=CC(=CC(OC)=C1OC)C1=CC(=O)C2=C(O)C=C(OC3OC(COC4OC(C)C(O)C(O)C4O)C(O)C(O)C3O)C=C2O1,
cis-epsilon-Viniferin,62250-12-8,OC1=CC=C(\C=C/C2=CC(O)=CC3=C2C(C(O3)C2=CC=C(O)C=C2)C2=CC(O)=CC(O)=C2)C=C1,
"(7E,7'S,8'S)-epsilon-Viniferin",129170-22-5,OC1=CC=C(\C=C/C2=CC(O)=CC3=C2C(C(O3)C2=CC=C(O)C=C2)C2=CC(O)=CC(O)=C2)C=C1,
"alpha,beta-Dihydroxanthohumol",102448-00-0,COC1=C(C(=O)CCC2=CC=C(O)C=C2)C(O)=C(CC=C(C)C)C(O)=C1,
Pimentol,141913-95-3,COC1=C(O)C(OC2OC(COC(=O)C3=CC(O)=C(O)C(O)=C3)C(O)C(O)C2O)=CC(CC=C)=C1,
"(E,E)-1,6-bis(4-methoxyphenyl)-1,5-hexadiene",72448-90-9,COC1=CC=C(\C=C\CC\C=C\C2=CC=C(OC)C=C2)C=C1,
Liquiritigenin 4'-[3-acetylapiosyl-(1->2)-glucoside],226946-10-7,CC(=O)OC1(CO)COC(OC2C(O)C(O)C(CO)OC2OC2=CC=C(C=C2)C2CC(=O)C3=C(O2)C=C(O)C=C3)C1O,
2''-Methoxy-(R)-oleuropein,256498-10-9,COC(COC(=O)CC1\C(=C/C)C(OC2OC(CO)C(O)C(O)C2O)OC=C1C(=O)OC)C1=CC(O)=C(O)C=C1,
2''-Methoxy-(S)-oleuropein,256498-10-9,[H][C@]1(CC(=O)OC[C@@H](OC)C2=CC(O)=C(O)C=C2)\C(=C/C)[C@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)OC=C1C(=O)OC,
Methyl rosmarinate,99353-00-1,COC(=O)C(CC1=CC(O)=C(O)C=C1)OC(=O)\C=C/C1=CC(O)=C(O)C=C1,
5-Isopropyl-2-methylphenol acetate,6380-28-5,CC(C)C1=CC(OC(C)=O)=C(C)C=C1,
Licoagroside A,298-02-2,COC1=C(O)C=C(C(OC2OC(CO)C(O)C(O)C2O)=C1)C1=COC2=CC(O)=C(OC)C=C2C1=O,
"1beta,2alpha,3beta,19alpha-Tetrahydroxy-12-ursen-28-oic acid 28-O-[b-D-Glucopyranosyl-(1->2)-b-D-glucopyranosyl] ester",211944-25-1,CC1CCC2(CCC3(C)C(=CCC4C3(C)CCC3C(C)(C)C(O)C(O)C(O)C43C)C2C1(C)O)C(=O)OC1OC(CO)C(O)C(O)C1OC1OC(CO)C(O)C(O)C1O,
Pelargonidin 3-O-[b-D-Glucopyranosyl-(1->2)-[4-hydroxycinnamoyl-(->6)]-b-D-glucopyranoside](E-) 5-O-b-D-glucopyranoside,218963-78-1,OCC1OC(OC2C(O)C(O)C(COC(=O)\C=C\C3=CC=C(O)C=C3)OC2OC2=CC3=C(OC4OC(CO)C(O)C(O)C4O)C=C(O)C=C3[O+]=C2C2=CC=C(O)C=C2)C(O)C(O)C1O,
Pelargonidin 3-O-[b-D-Glucopyranosyl-(1->2)-[4-hydroxy-3-methoxy-(E)-cinnamoyl-(->6)]-b-D-glucopyranoside] 5-O-b-D-glucopyranoside,185027-87-6,COC1=CC(\C=C\C(=O)OCC2OC(OC3=CC4=C(OC5OC(CO)C(O)C(O)C5O)C=C(O)C=C4[O+]=C3C3=CC=C(O)C=C3)C(OC3OC(CO)C(O)C(O)C3O)C(O)C2O)=CC=C1O,
Pelargonidin 3-O-[b-D-Glucopyranosyl-(1->2)-[4-hydroxycinnamoyl-(->6)]-b-D-glucopyranoside](E-) 5-O-(6-O-malonyl-b-D-glucopyranoside),218963-76-9,OCC1OC(OC2C(O)C(O)C(COC(=O)\C=C\C3=CC=C(O)C=C3)OC2OC2=CC3=C(OC4OC(COC(=O)CC(O)=O)C(O)C(O)C4O)C=C(O)C=C3[O+]=C2C2=CC=C(O)C=C2)C(O)C(O)C1O,
Pelargonidin 3-O-[b-D-Glucopyranosyl-(1->2)-[4-hydroxy-3-methoxy-(E)-cinnamoyl-(->6)]-b-D-glucopyranoside] 5-O-(6-O-malonyl-b-D-glucopyranoside),218963-77-0,COC1=CC(\C=C\C(=O)OCC2OC(OC3=CC4=C(OC5OC(COC(=O)CC(O)=O)C(O)C(O)C5O)C=C(O)C=C4[O+]=C3C3=CC=C(O)C=C3)C(OC3OC(CO)C(O)C(O)C3O)C(O)C2O)=CC=C1O,
(E)-2-Heptenoic acid,18999-28-5,CCCC\C=C\C(O)=O,
(±)-5-Hydroxy-4-octanone,116296-89-0,CCCC(O)C(=O)CCC,
Cyanidin 3-O-[4-Hydroxy-E-cinnamoyl-(->6)-b-D-glucopyranosyl-(1->2)-b-D-glucopyranoside] 5-glucoside,307318-06-5,OCC1OC(OC2=CC(O)=CC3=[O+]C(=C(OC4OC(CO)C(O)C(O)C4OC4OC(COC(=O)\C=C\C5=CC=C(O)C=C5)C(O)C(O)C4O)C=C23)C2=CC(O)=C(O)C=C2)C(O)C(O)C1O,
Myricetin 3-(6''-acetylgalactoside),529-44-2,CC(=O)OCC1OC(OC2=C(OC3=CC(O)=CC(O)=C3C2=O)C2=CC(O)=C(O)C(O)=C2)C(O)C(O)C1O,
Myricetin 7-(6''-galloylglucoside),617-45-8,OC1C(O)C(COC(=O)C2=CC(O)=C(O)C(O)=C2)OC(OC2=CC(O)=C3C(OC(=C(O)C3=O)C3=CC(O)=C(O)C(O)=C3)=C2)C1O,
"6,8-Di-O-methylaverufin",61470-56-2,COC1=CC2=C(C(=O)C3=C(C=C4OC5(C)CCCC(O5)C4=C3O)C2=O)C(OC)=C1,
Kaempferol 3-(6-acetylgalactoside),520-18-3,CC(=O)OCC1OC(OC2=C(OC3=CC(O)=CC(O)=C3C2=O)C2=CC=C(O)C=C2)C(O)C(O)C1O,
Melilotussaponin O2,263398-47-6,CC1OC(OC2C(O)C(O)COC2OC2C(O)C(O)C(OC2OC2CCC3(C)C(CCC4(C)C3CC=C3C5CC(C)(CC(=O)C5(C)CCC43C)C(O)=O)C2(C)CO)C(O)=O)C(O)C(O)C1O,
Avocadyne,129099-96-3,OCC(O)CC(O)CCCCCCCCCCCC#C,
Isopropyl hexadecanoate,142-91-6,CCCCCCCCCCCCCCCC(=O)OC(C)C,
Simmondsin 2'-ferulate,179466-18-3,COC1CC(OC2OC(CO)C(O)C(O)C2OC(=O)\C=C\C2=CC(OC)=C(O)C=C2)\C(=C\C#N)C(O)C1OC,
6'-Methoxypolygoacetophenoside,241814-63-1,COC1=C(C(C)=O)C(O)=C(OC2OC(CO)C(O)C(O)C2O)C(O)=C1,
Tridecyl phloretate,232262-50-9,CCCCCCCCCCCCCOC(=O)CCC1=CC=C(O)C=C1,
"2',3,4',5-Tetrahydroxy-4-prenylstilbene",69065-16-3,CC(C)=CCC1=C(O)C=C(\C=C\C2=C(O)C=C(O)C=C2)C=C1O,
Isolicopyranocoumarin,197303-94-9,COC1=C2C=C(C(=O)OC2=CC2=C1CC(O)C(C)(C)O2)C1=C(O)C=C(O)C=C1,
"N-[(4E,8E)-1,3-dihydroxyoctadeca-4,8-dien-2-yl]hexadecanamide",141980-53-2,CCCCCCCCCCCCCCCC(=O)NC(CO)C(O)\C=C/CC\C=C/CCCCCCCCC,
Tuberoside A (Allium tuberosum),259810-65-6,CC(CCC1=C(C)C2C(CC3C4CCC5CC(OC6OC(CO)C(O)C(O)C6OC6OC(C)C(O)C(O)C6O)C(O)CC5(C)C4CCC23C)O1)COC1OC(CO)C(O)C(O)C1O,
